label,LST,NDVI,elevation,ACQ_DATE
0,15714.5,3213.0,1544,1626574694238
1,15878.0,5151.0,57,1627516800000
1,15653.5,5138.0,388,1628121600000
1,15599.0,5334.0,660,1627948800000
0,15630.0,3190.0,1165,1627245083647
1,15422.0,5052.0,514,1627603200000
0,15639.0,3475.0,1671,1627245083647
1,15742.5,4028.5,7,1627430400000
1,15595.0,5213.0,834,1627689600000
1,15360.5,2237.0,175,1627603200000
0,15539.0,3124.0,1072,1627162644955
1,15809.0,4480.0,242,1627516800000
1,15394.5,5629.0,1316,1628035200000
1,15735.0,5778.0,640,1627689600000
1,15910.0,4394.0,171,1627862400000
0,15441.5,6882.5,835,1626041581959
0,15551.5,4934.0,173,1625306343379
1,15559.0,5587.0,896,1627862400000
0,15318.0,2052.0,2238,1627245083647
1,15889.5,4243.0,165,1627516800000
1,15881.0,4642.0,89,1627516800000
0,15060.0,4856.0,1362,1625843307769
1,15544.0,4006.0,744,1627516800000
1,15460.0,4034.0,1094,1627948800000
1,15364.0,5701.0,1064,1627948800000
1,15643.0,5861.0,535,1627689600000
1,15690.0,4844.0,441,1627862400000
1,15925.0,4221.0,72,1627516800000
1,15604.0,5925.0,439,1627776000000
1,15605.0,5364.0,767,1627948800000
1,15516.0,6684.0,670,1627776000000
1,15673.5,5355.0,364,1627430400000
1,15430.0,5605.0,1355,1627689600000
1,15568.0,4812.0,948,1627948800000
1,15604.5,6926.0,820,1628035200000
1,15517.0,5905.0,746,1627776000000
0,15373.0,5712.0,608,1627067789718
1,15696.0,6432.0,843,1628035200000
1,15686.5,5704.0,159,1627603200000
0,15382.0,5212.0,811,1627148190062
1,15802.0,2783.0,95,1627516800000
1,15505.0,5850.0,757,1627776000000
0,15199.0,6312.0,1311,1626623335060
1,15315.0,5907.0,1015,1627776000000
1,15736.0,6246.0,332,1627776000000
1,15763.0,5138.0,361,1627862400000
0,15390.0,5039.0,941,1626851767267
0,15200.0,5367.0,1495,1625726180078
1,15646.0,3908.0,309,1627516800000
1,15790.0,3880.0,245,1627689600000
1,15731.0,5485.0,330,1627862400000
1,15455.5,5281.0,638,1627603200000
1,15841.0,5124.0,540,1627689600000
1,15531.0,5094.0,432,1627689600000
1,15727.0,6050.0,322,1627516800000
0,15533.0,3594.0,1198,1627245083647
1,15940.0,4168.0,233,1627862400000
0,15414.0,4829.0,758,1627245083647
1,15465.0,6050.0,1130,1627948800000
1,15815.0,6741.0,243,1627689600000
0,15701.0,5429.0,207,1626112853136
1,15769.5,4381.5,49,1627430400000
1,15368.0,5884.0,1276,1627689600000
1,15740.0,5490.0,907,1627689600000
0,15370.5,2226.0,1890,1625226039026
1,15892.0,1679.5,831,1630195200000
1,15700.0,5538.0,439,1627862400000
1,15851.0,4471.0,184,1627689600000
1,15604.0,4687.0,361,1627516800000
0,15650.0,3746.0,410,1627245083647
1,15597.0,4995.0,1076,1627776000000
1,15767.5,3975.0,96,1627516800000
1,15659.0,5682.0,615,1627862400000
1,15448.5,6819.0,962,1627603200000
1,15680.0,3793.0,288,1627516800000
1,15599.0,4263.0,955,1627862400000
1,15611.0,4943.0,861,1627862400000
1,15631.0,5567.0,381,1627948800000
1,15821.0,4662.0,309,1627776000000
1,15729.0,5296.0,355,1627516800000
1,15776.0,4218.0,282,1627776000000
1,15782.0,4403.0,786,1627689600000
0,15337.0,2154.0,1767,1625772259785
1,15688.0,5178.0,257,1627603200000
1,15728.0,5377.0,303,1627516800000
0,15527.0,2875.0,1723,1627004465106
1,15707.0,4507.0,405,1627862400000
1,15510.0,4261.0,1124,1627948800000
0,15422.0,1980.0,1957,1627245083647
1,15485.0,6385.0,3,1628640000000
1,15786.0,3958.0,205,1627948800000
1,15687.0,4179.0,144,1627603200000
1,15701.0,5426.0,488,1627862400000
0,15027.5,3455.0,2173,1625973886780
1,15424.5,4353.0,978,1628035200000
0,15303.0,4077.0,1790,1627245083647
1,15664.0,6106.0,582,1627689600000
1,15541.0,5587.0,594,1627603200000
1,15537.0,5058.0,718,1627776000000
1,15667.0,6190.0,266,1627603200000
0,15318.0,5145.0,1371,1627245083647
1,15666.0,5900.0,966,1627862400000
0,15269.0,6666.0,663,1625446997580
1,15699.0,4414.0,338,1627689600000
1,15574.0,6852.0,1020,1627689600000
1,15754.0,4409.0,814,1627689600000
1,15567.0,4409.0,814,1627603200000
1,15714.0,5087.0,217,1627776000000
1,15533.0,5901.0,869,1627689600000
0,15484.0,5324.0,609,1627245083647
0,15611.0,2578.0,952,1627245083647
0,15367.0,5900.0,1053,1627245083647
1,15528.5,3941.0,494,1627603200000
1,15618.0,5720.0,658,1627948800000
0,15385.0,5722.0,901,1627245083647
1,15668.0,6158.0,214,1627516800000
1,15567.0,4409.0,814,1627516800000
0,15695.0,4540.0,1129,1627245083647
1,15737.5,3884.0,33,1627430400000
1,15514.0,5404.0,760,1627862400000
0,15820.0,4634.0,977,1625894085813
0,15285.0,6083.0,1080,1627245083647
1,15433.5,3503.0,542,1627516800000
1,15572.0,5019.0,618,1628380800000
0,15227.0,4900.0,1666,1627245083647
1,15843.5,3642.0,99,1627516800000
1,15576.0,5307.0,866,1627689600000
1,15246.0,6347.0,1284,1627948800000
1,15717.0,4791.0,41,1627516800000
1,15623.5,4939.0,329,1627603200000
0,15498.0,5152.0,987,1627245083647
0,15212.5,3384.0,1618,1625360053582
1,15453.5,4505.0,901,1627603200000
0,15475.5,5086.0,1191,1626831745205
0,15594.0,2589.0,1503,1627245083647
1,15641.0,5833.0,679,1627689600000
0,15326.0,5522.0,1536,1627245083647
0,15290.0,2644.0,2083,1627245083647
1,15812.0,5033.0,150,1627776000000
1,15639.5,6508.5,308,1627430400000
1,15401.0,3992.0,1663,1627948800000
1,15853.0,5990.0,530,1627689600000
1,15397.5,6648.0,1025,1627603200000
1,15667.0,6190.0,266,1627516800000
0,15183.0,4912.0,1404,1627245083647
1,15706.5,5980.0,828,1628035200000
1,16052.0,3416.0,111,1627862400000
0,15020.0,2411.0,2500,1627245083647
1,15642.0,5403.0,818,1627862400000
1,15537.0,5058.0,718,1627862400000
1,15439.5,4715.0,703,1628035200000
1,15587.0,4922.0,529,1628208000000
1,15285.5,4221.0,1559,1627603200000
1,15607.0,6359.0,326,1627603200000
1,15481.0,6466.0,1300,1627689600000
0,15471.0,5806.0,794,1627245083647
