label,LST,NDVI,elevation,ACQ_DATE
0,15475.5,5086.0,1191,1626831745205
0,15227.0,4900.0,1666,1627245083647
0,15539.0,3124.0,1072,1627162644955
0,15438.0,2543.0,2112,1626179191629
0,15398.0,6097.0,324,1627245083647
0,15156.0,5175.0,1394,1627245083647
0,15361.0,3342.0,2205,1627245083647
0,15097.0,4468.0,1408,1625551490407
0,15367.0,5900.0,1053,1627245083647
0,15543.5,5302.0,676,1625302889980
0,15573.0,3442.0,1240,1627245083647
0,15420.0,3608.0,1166,1627245083647
0,15224.0,5269.0,1611,1627245083647
0,15246.0,2320.0,1962,1626063978728
0,15776.0,2477.0,1063,1627245083647
0,15611.0,2578.0,952,1627245083647
0,15767.0,2594.0,1257,1627031209453
0,15368.0,5985.0,1109,1627245083647
0,15683.0,4299.0,225,1625661724686
0,15298.0,6467.0,770,1627245083647
0,15830.0,2582.0,1103,1627245083647
0,15384.0,6821.0,982,1627245083647
0,15481.0,5169.0,1022,1626346662218
0,15695.0,4063.0,530,1626486220675
0,15382.0,5212.0,811,1627148190062
0,15299.0,4910.0,755,1627245083647
0,15828.0,1559.0,1122,1627245083647
0,15323.0,4488.0,1080,1625142258929
0,15766.0,1974.0,1161,1627245083647
0,15471.0,5806.0,794,1627245083647
0,15372.0,5749.0,689,1627245083647
0,15515.0,3206.0,1339,1627245083647
0,15169.0,4208.0,1862,1627245083647
0,15115.0,2066.0,2267,1627245083647
0,15967.0,1832.0,1355,1626460365972
0,15874.0,2500.0,886,1625872095008
0,15556.0,4843.0,302,1626940346908
0,15513.5,2255.0,1529,1625256708334
0,15441.5,6882.5,835,1626041581959
0,15565.0,2628.0,1786,1626669461729
0,15650.0,3746.0,410,1627245083647
0,15335.0,3798.0,1573,1627245083647
0,15291.0,5682.0,475,1627245083647
0,15422.0,1980.0,1957,1627245083647
0,15331.0,6172.0,1257,1627245083647
0,15487.0,3989.0,1052,1627245083647
0,15423.0,4699.0,411,1627212667397
0,15791.0,4636.0,138,1627037891103
0,15871.0,2177.0,1087,1627245083647
0,15453.0,4360.0,1103,1627245083647
0,15758.5,2895.5,1315,1625962330306
0,15422.0,5751.0,246,1626552027025
0,15464.0,4416.0,699,1627245083647
0,15426.0,2787.0,1776,1627245083647
0,15654.0,4791.0,305,1627245083647
0,15482.0,4567.0,86,1627245083647
0,15098.0,3284.0,1735,1625575132879
0,15854.0,2014.0,1286,1626616953975
0,15274.0,6100.0,801,1627245083647
0,15315.0,4595.0,1112,1627245083647
0,15734.0,5298.0,93,1627245083647
0,15628.0,2141.0,1540,1627245083647
0,15639.0,3475.0,1671,1627245083647
0,15426.0,5449.0,945,1626525702295
0,15573.0,3423.0,1183,1627047011515
0,15580.0,5574.0,987,1627245083647
0,15293.0,6363.0,319,1627013017620
0,15696.0,2562.0,1737,1627245083647
0,15420.0,4866.0,989,1627245083647
0,15318.0,5145.0,1371,1627245083647
0,15416.0,5021.0,1118,1627245083647
0,15630.0,3190.0,1165,1627245083647
0,15326.5,4654.5,1272,1625984424476
0,15276.5,5590.0,1411,1626122046921
0,15204.0,2464.0,1869,1627245083647
0,15616.5,2514.0,1383,1625508964114
0,15243.0,6490.0,1282,1627245083647
0,15515.5,5816.5,603,1625938355658
0,15105.0,4644.0,1500,1627245083647
0,15498.0,5152.0,987,1627245083647
0,15513.0,3695.0,1200,1626943767796
0,15765.0,2437.0,1126,1627245083647
0,15700.0,3152.0,169,1627245083647
0,15534.0,4998.0,145,1625774987049
0,15183.0,4256.0,1355,1627245083647
0,15405.0,2569.0,1826,1627245083647
0,15353.0,5010.0,1206,1626394355903
0,15279.0,5047.0,1160,1627245083647
0,15773.0,3881.0,35,1626642424374
0,15420.0,5592.0,119,1627245083647
0,15201.0,5555.0,1478,1627245083647
0,15774.0,4487.0,4,1627245083647
0,15760.0,4406.0,390,1626490740637
0,15137.0,5294.0,1711,1627245083647
0,15394.0,3138.0,1418,1626928372901
0,15371.0,2728.0,1665,1627245083647
0,15281.5,3792.0,1509,1625994820528
0,15551.5,4934.0,173,1625306343379
0,15765.0,4085.0,228,1626345920166
0,15200.0,5367.0,1495,1625726180078
0,15705.0,4749.0,176,1627245083647
0,15468.0,3833.0,1015,1627245083647
0,15259.0,6638.0,223,1627245083647
0,15532.0,1799.0,1965,1627245083647
0,15332.0,5463.0,1033,1627245083647
0,15715.0,3693.0,134,1627245083647
0,15685.0,4777.0,251,1627245083647
0,15512.0,5820.0,322,1627245083647
0,15199.0,6312.0,1311,1626623335060
0,15634.0,2805.0,1440,1627245083647
