label,LST,NDVI,elevation,ACQ_DATE
1,15844.0,3924.0,21,1625443200000
1,15869.5,3228.0,20,1625443200000
1,15743.0,3942.0,12,1625875200000
1,15295.5,4689.5,58,1626048000000
1,15865.0,1950.0,1316,1626480000000
1,16021.0,2617.0,304,1626480000000
1,15623.5,1759.0,3,1626912000000
1,15996.0,3940.5,295,1627344000000
1,15814.5,3492.5,59,1627430400000
1,15800.0,3860.5,32,1627430400000
1,15639.5,6508.5,308,1627430400000
1,15774.5,4970.5,159,1627430400000
1,15810.0,4164.0,78,1627430400000
1,15788.0,4234.0,62,1627430400000
1,15607.5,6180.5,365,1627430400000
1,15672.5,6429.5,402,1627430400000
1,15812.5,3303.5,120,1627430400000
1,15777.0,3992.0,51,1627430400000
1,15799.5,3475.0,40,1627430400000
1,15633.5,5243.5,314,1627430400000
1,15607.5,6180.5,359,1627430400000
1,15763.5,3783.5,110,1627430400000
1,15734.5,3858.0,46,1627430400000
1,15673.5,5355.0,364,1627430400000
1,15664.0,5931.0,353,1627430400000
1,15779.0,4343.5,222,1627430400000
1,15776.0,3680.0,25,1627430400000
1,15743.0,4287.0,19,1627430400000
1,15727.0,5935.0,322,1627430400000
1,15653.0,4841.5,309,1627430400000
1,15738.5,5201.0,272,1627430400000
1,15737.5,3884.0,33,1627430400000
1,15765.0,5382.0,198,1627430400000
1,15846.0,4420.0,157,1627430400000
1,15752.5,4300.5,24,1627430400000
1,15639.0,4475.0,210,1627430400000
1,15727.0,5988.0,232,1627430400000
1,15632.5,4787.0,109,1627430400000
1,15757.5,5070.0,134,1627430400000
1,15775.0,4940.5,92,1627430400000
1,15680.5,4406.5,26,1627430400000
1,15581.5,6828.0,226,1627430400000
1,15620.0,5873.0,189,1627430400000
1,15741.0,5387.5,85,1627430400000
1,15769.5,4381.5,49,1627430400000
1,15686.5,5626.5,159,1627430400000
1,15811.0,4262.0,90,1627430400000
1,15731.5,3360.5,26,1627430400000
1,15820.0,2958.5,22,1627430400000
